STJ;BFS-Nr.;Gde Name;Anlage Gde NP;Anlage Gde JP;LSt;Mischsatz JP;reformiert;römisch-katholisch;christ-katholisch;gültig von;gültig bis;provisorisch/ definitiv;KG_Bezeichnung;Verwaltungskreis/ Amtsbezirk
2025;575;Därligen;1.85;1.85;1.5;0.1585;0.15;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;576;Grindelwald;1.69;1.69;1.5;0.1901;0.184;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;577;Gsteigwiler;1.93;1.93;1.5;0.1878;0.184;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;578;Gündlischwand;2;2;1.5;0.1889;0.184;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;579;Habkern;1.85;1.85;1.5;0.2283;0.23;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;580;Hofstetten;1.7;1.7;1.5;0.2264;0.23;0.2;0.23;01.01.2025;31.12.9999;definitiv;KG Meiringen;Interlaken-Oberhasli
2025;581;Interlaken;1.77;1.77;1.5;0.1924;0.184;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;582;Iseltwald;1.85;1.85;1.5;0.1862;0.184;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;584;Lauterbrunnen;1.84;1.84;1.5;0.2235;0.23;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;585;Leissigen;1.9;1.9;1.5;0.1594;0.15;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;586;Lütschental;1.5;1.5;1.5;0.1868;0.184;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;587;Matten bei Interlaken;1.88;1.88;1.5;0.1899;0.184;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;588;Niederried b. I.;1.94;1.94;1.5;0.1919;0.19;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;589;Oberried;1.94;1.94;1.5;0.225;0.23;0.2;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;590;Ringgenberg;1.8;1.8;1.5;0.1929;0.19;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;591;Saxeten;1.69;1.69;1.5;0.1877;0.184;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;592;Schwanden;1.75;1.75;1.5;0.2258;0.23;0.2;0.23;01.01.2025;31.12.9999;definitiv;KG Meiringen;Interlaken-Oberhasli
2025;593;Unterseen;1.7;1.7;1.2;0.1894;0.184;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;594;Wilderswil;1.69;1.69;1.5;0.1886;0.184;0.207;0.23;01.01.2025;31.12.9999;definitiv;KG Interlaken;Interlaken-Oberhasli
2025;602;Arni BE;1.74;1.74;1.2;0.2282;0.23;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;603;Biglen;1.9;1.9;1.2;0.225;0.23;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;605;Bowil;1.84;1.84;1.1;0.2062;0.207;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;606;Brenzikofen;1.86;1.86;1.2;0.1846;0.184;0.19;0.23;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;607;Freimettigen;1.8;1.8;1.5;0.1847;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;608;Grosshöchstetten (Grosshöchs.);1.62;1.62;1;0.2047;0.207;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;608;Grosshöchstetten (Schlosswil);1.62;1.62;1;0.2656;0.27;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
