Steuerbares Einkommen;Einheitssteuersatz %
43400;3.2108
43500;3.2122
43600;3.2135
43700;3.2149
43800;3.2162
43900;3.2175
44000;3.2189
44100;3.2202
44200;3.2215
44300;3.2228
44400;3.2241
44500;3.2254
44600;3.2267
44700;3.228
44800;3.2292
44900;3.2305
45000;3.2318
45100;3.233
45200;3.2343
45300;3.2355
45400;3.2368
45500;3.238
45600;3.2393
45700;3.2405
45800;3.2417
45900;3.2429
46000;3.2441
46100;3.2453
46200;3.2465
46300;3.2477
46400;3.2489
46500;3.2501
46600;3.2513
46700;3.2525
46800;3.2536
46900;3.2548
47000;3.256
47100;3.2571
47200;3.2583
47300;3.2594
47400;3.2605
47500;3.2617
47600;3.2628
47700;3.2639
47800;3.2651
47900;3.2662
48000;3.2673
48100;3.2684
48200;3.2695
48300;3.2706
48400;3.2717
48500;3.2728
48600;3.2739
48700;3.2749
48800;3.276
48900;3.2771
49000;3.2782
49100;3.2792
49200;3.2803
49300;3.2813
49400;3.2824
49500;3.2834
49600;3.2845
49700;3.2855
49800;3.2865
49900;3.2876
50000;3.2886
50100;3.2896
50200;3.2906
50300;3.2917
50400;3.2927
50500;3.2937
50600;3.2947
50700;3.2957
50800;3.2967
50900;3.2976
51000;3.2986
51100;3.2996
51200;3.3006
51300;3.3016
51400;3.3025
51500;3.3035
51600;3.3045
51700;3.3054
51800;3.3064
51900;3.3073
52000;3.3083
52100;3.3092
52200;3.3102
52300;3.3111
52400;3.312
52500;3.313
52600;3.3139
52700;3.3148
52800;3.3157
52900;3.3166
53000;3.3175
53100;3.3185
53200;3.3194
53300;3.3203
53400;3.3212
53500;3.3221
53600;3.3229
53700;3.3238
53800;3.3247
53900;3.3256
54000;3.3265
54100;3.3274
54200;3.3282
54300;3.3291
54400;3.33
54500;3.3308
54600;3.3317
54700;3.3325
54800;3.3334
54900;3.3342
55000;3.3351
55100;3.3359
55200;3.3368
55300;3.3376
55400;3.3384
55500;3.3393
55600;3.3401
55700;3.3409
55800;3.3418
55900;3.3426
56000;3.3434
56100;3.3442
56200;3.345
56300;3.3458
56400;3.3466
56500;3.3474
56600;3.3482
56700;3.349
56800;3.3498
56900;3.3506
57000;3.3514
57100;3.3522
57200;3.353
57300;3.3538
57400;3.3545
57500;3.3553
57600;3.3561
57700;3.3568
57800;3.3576
57900;3.3584
58000;3.3591
58100;3.3599
58200;3.3615
58300;3.3631
58400;3.3647
58500;3.3663
58600;3.3679
58700;3.3695
58800;3.3711
58900;3.3727
59000;3.3742
59100;3.3758
59200;3.3774
59300;3.3789
59400;3.3805
59500;3.382
59600;3.3836
59700;3.3851
59800;3.3866
59900;3.3881
60000;3.3897
60100;3.3912
60200;3.3927
60300;3.3942
60400;3.3957
60500;3.3972
60600;3.3987
60700;3.4002
60800;3.4016
60900;3.4031
61000;3.4046
61100;3.4061
61200;3.4075
61300;3.409
61400;3.4104
61500;3.4119
61600;3.4133
61700;3.4147
61800;3.4162
61900;3.4176
62000;3.419
62100;3.4205
62200;3.4219
62300;3.4233
62400;3.4247
62500;3.4261
62600;3.4275
62700;3.4289
62800;3.4303
62900;3.4316
63000;3.433
63100;3.4344
63200;3.4358
63300;3.4371
63400;3.4385
63500;3.4398
63600;3.4412
63700;3.4425
63800;3.4439
63900;3.4452
64000;3.4466
64100;3.4479
64200;3.4492
64300;3.4505
64400;3.4519
64500;3.4532
64600;3.4545
64700;3.4558
64800;3.4571
64900;3.4584
65000;3.4597
65100;3.461
65200;3.4623
65300;3.4636
65400;3.4648
65500;3.4661
65600;3.4674
65700;3.4686
65800;3.4699
65900;3.4712
66000;3.4724
66100;3.4737
66200;3.4749
66300;3.4762
66400;3.4774
66500;3.4786
66600;3.4799
66700;3.4811
66800;3.4823
66900;3.4836
67000;3.4848
67100;3.486
67200;3.4872
67300;3.4884
67400;3.4896
67500;3.4908
67600;3.492
67700;3.4932
67800;3.4944
67900;3.4956
68000;3.4968
68100;3.4979
68200;3.4991
68300;3.5003
68400;3.5015
68500;3.5026
68600;3.5038
68700;3.5049
68800;3.5061
68900;3.5073
69000;3.5084
69100;3.5096
69200;3.5107
69300;3.5118
69400;3.513
69500;3.5141
69600;3.5152
69700;3.5164
69800;3.5175
69900;3.5186
70000;3.5197
70100;3.5208
70200;3.5219
70300;3.523
70400;3.5241
70500;3.5252
70600;3.5263
70700;3.5274
70800;3.5285
70900;3.5296
71000;3.5307
71100;3.5318
71200;3.5329
71300;3.5339
71400;3.535
71500;3.5361
71600;3.5372
71700;3.5382
71800;3.5393
71900;3.5403
72000;3.5414
72100;3.5424
72200;3.5435
72300;3.5445
72400;3.5456
72500;3.5466
72600;3.5477
72700;3.5487
72800;3.5497
72900;3.5508
73000;3.5518
73100;3.5528
73200;3.5538
73300;3.5548
73400;3.5559
73500;3.5569
73600;3.5579
73700;3.5589
73800;3.5599
73900;3.5609
74000;3.5619
74100;3.5629
74200;3.5639
74300;3.5649
74400;3.5659
74500;3.5668
74600;3.5678
74700;3.5688
74800;3.5698
74900;3.5708
75000;3.5717
75100;3.5727
75200;3.5737
75300;3.5746
75400;3.5756
75500;3.5766
75600;3.5775
75700;3.5785
75800;3.5794
75900;3.5804
76000;3.5813
76100;3.5823
76200;3.5832
76300;3.5841
76400;3.5851
76500;3.586
76600;3.5869
76700;3.5879
76800;3.5888
76900;3.5897
77000;3.5906
77100;3.5916
77200;3.5925
77300;3.5934
77400;3.5943
77500;3.5952
77600;3.5961
77700;3.597
77800;3.5979
77900;3.5988
78000;3.5997
78100;3.6006
78200;3.6015
78300;3.6024
78400;3.6033
78500;3.6042
78600;3.6051
78700;3.606
78800;3.6069
78900;3.6077
79000;3.6086
79100;3.6095
79200;3.6104
79300;3.6112
79400;3.6121
79500;3.613
79600;3.6138
79700;3.6147
79800;3.6155
79900;3.6164
80000;3.6173
80100;3.6181
80200;3.619
80300;3.6198
80400;3.6206
80500;3.6215
80600;3.6223
80700;3.6232
80800;3.624
80900;3.6248
81000;3.6257
81100;3.6265
81200;3.6273
81300;3.6282
81400;3.629
81500;3.6298
81600;3.6306
81700;3.6315
81800;3.6323
81900;3.6331
82000;3.6339
82100;3.6347
82200;3.6355
82300;3.6363
82400;3.6371
82500;3.6379
82600;3.6387
82700;3.6395
82800;3.6403
82900;3.6411
83000;3.6419
83100;3.6427
83200;3.6435
83300;3.6443
83400;3.6451
83500;3.6459
83600;3.6467
83700;3.6474
83800;3.6482
83900;3.649
84000;3.6498
84100;3.6505
84200;3.6513
84300;3.6521
84400;3.6528
84500;3.6543
84600;3.6557
84700;3.6571
84800;3.6585
84900;3.6599
85000;3.6613
85100;3.6627
85200;3.6641
85300;3.6655
85400;3.6669
85500;3.6682
85600;3.6696
